Node,mean,stdev
928,8.237,0.346
929,8.237,0.346
930,8.237,0.346
931,8.238,0.346
932,8.238,0.346
933,8.238,0.346
934,8.238,0.346
935,8.235,0.345
936,8.235,0.345
937,8.234,0.345
938,8.235,0.345
939,8.234,0.345
940,8.233,0.345
941,8.234,0.345
942,8.234,0.345
943,8.233,0.346
944,8.233,0.346
945,8.233,0.346
946,8.233,0.346
947,8.232,0.346
948,8.232,0.346
949,8.232,0.346
950,8.232,0.346
951,8.232,0.346
952,8.232,0.346
953,8.232,0.346
954,8.232,0.346
955,8.232,0.347
956,8.232,0.347
957,8.232,0.347
958,8.231,0.347
959,8.230,0.347
960,8.230,0.347
961,8.231,0.347
962,8.230,0.347
963,8.229,0.346
964,8.230,0.346
965,8.230,0.346
966,8.230,0.346
967,8.230,0.345
968,8.229,0.346
969,8.229,0.345
970,8.228,0.345
971,8.229,0.345
972,8.229,0.345
973,8.228,0.344
974,8.228,0.344
975,8.228,0.344
976,8.228,0.343
977,8.229,0.343
978,8.228,0.343
979,8.228,0.343
980,8.227,0.342
981,8.227,0.342
982,8.227,0.342
983,8.228,0.342
984,8.229,0.341
985,8.229,0.341
986,8.229,0.341
987,8.230,0.342
988,8.230,0.342
989,8.230,0.341
990,8.229,0.342
991,8.229,0.342
992,8.229,0.342
993,8.229,0.342
994,8.230,0.342
995,8.229,0.342
996,8.229,0.342
997,8.229,0.342
998,8.229,0.342
999,8.229,0.342
1000,8.229,0.342
1001,8.229,0.342
1002,8.229,0.342
1003,8.229,0.342
1004,8.230,0.342
1005,8.233,0.341
1006,8.233,0.341
1007,8.234,0.341
1008,8.233,0.340
1009,8.235,0.340
1010,8.235,0.340
1011,8.235,0.340
1012,8.236,0.341
1013,8.237,0.342
1014,8.237,0.342
1015,8.237,0.341
1016,8.238,0.341
1017,8.238,0.341
1018,8.238,0.341
1019,8.239,0.341
1020,8.239,0.341
1021,8.239,0.341
1022,8.240,0.341
1023,8.247,0.345
1024,8.248,0.345
1025,8.251,0.346
1026,8.251,0.346
1027,8.253,0.347
1028,8.252,0.346
1029,8.252,0.348
1030,8.251,0.346
1031,8.252,0.347
1032,8.251,0.346
1033,8.252,0.346
1034,8.252,0.345
1035,8.253,0.345
1036,8.253,0.345
1037,8.254,0.344
1038,8.254,0.345
1039,8.254,0.344
1040,8.255,0.345
1041,8.255,0.345
1042,8.256,0.345
1043,8.257,0.344
1044,8.258,0.344
1045,8.259,0.345
1046,8.259,0.345
1047,8.260,0.345
1048,8.260,0.345
1049,8.262,0.344
1050,8.263,0.343
1051,8.263,0.343
1052,8.264,0.343
1053,8.266,0.343
1054,8.267,0.342
1055,8.267,0.342
1056,8.267,0.342
1057,8.268,0.341
1058,8.269,0.340
1059,8.270,0.341
1060,8.271,0.341
1061,8.271,0.341
1062,8.271,0.341
1063,8.272,0.341
1064,8.274,0.341
1065,8.274,0.341
1066,8.274,0.341
1067,8.275,0.341
1068,8.273,0.341
1069,8.274,0.341
1070,8.273,0.342
1071,8.274,0.342
1072,8.274,0.342
1073,8.273,0.343
1074,8.274,0.343
1075,8.273,0.343
1076,8.273,0.343
1077,8.273,0.343
1078,8.274,0.343
1079,8.274,0.343
1080,8.274,0.344
1081,8.274,0.344
1082,8.274,0.344
1083,8.273,0.344
1084,8.273,0.344
1085,8.273,0.344
1086,8.273,0.344
1087,8.273,0.345
1088,8.273,0.345
1089,8.274,0.345
1090,8.273,0.345
1091,8.273,0.345
1092,8.273,0.346
1093,8.273,0.346
1094,8.273,0.346
1095,8.273,0.347
1096,8.273,0.346
1097,8.273,0.346
1098,8.274,0.346
1099,8.275,0.345
1100,8.275,0.346
1101,8.275,0.346
1102,8.274,0.345
1103,8.274,0.346
1104,8.275,0.345
1105,8.275,0.345
1106,8.276,0.345
1107,8.275,0.344
1108,8.274,0.345
1109,8.275,0.345
1110,8.274,0.344
1111,8.274,0.344
1112,8.274,0.343
1113,8.274,0.343
1114,8.275,0.343
1115,8.273,0.341
1116,8.273,0.342
1117,8.273,0.342
1118,8.274,0.342
1119,8.273,0.343
1120,8.273,0.343
1121,8.273,0.343
1122,8.273,0.343
1123,8.270,0.342
1124,8.270,0.342
1125,8.270,0.342
1126,8.270,0.342
1127,8.270,0.342
1128,8.271,0.342
1129,8.272,0.342
1130,8.272,0.342
1131,8.272,0.342
1132,8.273,0.343
1133,8.275,0.344
1134,8.275,0.344
1135,8.276,0.344
1136,8.276,0.344
1137,8.277,0.344
1138,8.277,0.345
1139,8.277,0.345
1140,8.280,0.345
1141,8.280,0.345
1142,8.280,0.345
1143,8.281,0.345
1144,8.282,0.345
